32740.00, 0, 33
32740.60, 0, 33
32741.20, 0, 34
32741.80, 0, 34
32742.40, 0, 36
32743.00, 0, 36
32743.60, 0, 30
32744.20, 0, 33
32744.80, 0, 29
32745.40, 0, 30
32746.00, 0, 31
32746.60, 0, 29
32747.20, 0, 33
32747.80, 0, 34
32748.40, 0, 39
32749.00, 0, 46
32749.60, 0, 46
32750.20, 0, 55
32750.80, 0, 55
32751.40, 0, 68
32752.00, 0, 84
32752.60, 0, 83
32753.20, 0, 111
32753.80, 0, 111
32754.40, 0, 158
32755.00, 0, 245
32755.60, 0, 245
32756.20, 0, 415
32756.80, 0, 415
32757.40, 0, 853
32758.00, 0, 1023
32758.60, 0, 870
32759.20, 0, 592
32759.80, 0, 593
32760.40, 0, 268
32761.00, 0, 127
32740.00, 0, 13
32740.60, 0, 13
32741.20, 0, 14
32741.80, 0, 14
32742.40, 0, 15
32743.00, 0, 17
32743.60, 0, 17
32744.20, 0, 19
32744.80, 0, 19
32745.40, 0, 21
32746.00, 0, 22
32746.60, 0, 23
32747.20, 0, 26
32747.80, 0, 25
32748.40, 0, 29
32749.00, 0, 34
32749.60, 0, 33
32750.20, 0, 40
32750.80, 0, 41
32751.40, 0, 49
32752.00, 0, 60
32752.60, 0, 61
32753.20, 0, 81
32753.80, 0, 81
32754.40, 0, 116
32755.00, 0, 183
32755.60, 0, 182
32756.20, 0, 309
32756.80, 0, 311
32757.40, 0, 642
32758.00, 0, 841
32758.60, 0, 842
32759.20, 0, 576
32759.80, 0, 576
32760.40, 0, 269
32761.00, 0, 127
32761.60, 0, 126
32762.20, 0, 67
32762.80, 0, 69
32763.40, 0, 39
32764.00, 0, 26
32764.60, 0, 26
32765.20, 0, 16
32765.80, 0, 16
32766.40, 0, 10
32767.00, 0, 6
32767.60, 0, 6
32768.20, 0, 4
32768.80, 0, 4
32769.40, 0, 3
